appid,name,release_date,is_free,type,genres,price_overview
835110,America's Retribution,"21 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 440000, 'final': 440000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 4,400'}"
835130,Last Stanza,"9 Nov, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 890000, 'final': 890000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 8,900'}"
835040,美少女夏日欢乐!,"24 May, 2018",False,game,"[{'id': '71', 'description': 'Sexual Content'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 198000, 'final': 198000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 1,980'}"
834880,Acro FS,"23 May, 2018",True,game,"[{'id': '28', 'description': 'Simulation'}, {'id': '70', 'description': 'Early Access'}]",
834910,ATLAS,"22 Dec, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]","{'currency': 'KRW', 'initial': 3100000, 'final': 3100000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 31,000'}"
834920,Operation Osama Bin Laden,"24 May, 2021",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 220000, 'final': 220000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 2,200'}"
834930,Bishi and the Alien Slime Invasion!,"23 Apr, 2018",True,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",
834730,Crazy Justice,Coming soon,True,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '70', 'description': 'Early Access'}]",
834740,Circle Empires,"8 Aug, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 990000, 'final': 990000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 9,900'}"
834750,Crucible Falls: Together Forever,"21 Apr, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
834760,Robot Wants It All,"4 Apr, 2019",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 2150000, 'final': 2150000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 21,500'}"
834790,Eggs: All Guns Broken,"11 Sep, 2024",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 110000, 'final': 110000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 1,100'}"
834800,SolSeraph,"10 Jul, 2019",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 1600000, 'final': 1600000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 16,000'}"
834320,My Mad Road - adventure racing & shooting,To be announced,False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Racing'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]",
834380,Cube Zone,"15 May, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
834390,King's Heir: Rise to the Throne,"31 May, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]","{'currency': 'KRW', 'initial': 1550000, 'final': 1550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 15,500'}"
834410,Hacker News Reader,"24 May, 2018",True,game,"[{'id': '54', 'description': 'Education'}, {'id': '57', 'description': 'Utilities'}]",
834420,RollingBall: Unlimited World,"10 Apr, 2018",False,game,"[{'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 110000, 'final': 110000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 1,100'}"
834440,NAMELESS,"25 Oct, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 750000, 'final': 750000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 7,500'}"
834450,Roarr! The Adventures of Rampage Rex,"7 Nov, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 340000, 'final': 340000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 3,400'}"
834470,Zima uhodi!,"18 Apr, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 110000, 'final': 110000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 1,100'}"
834530,Yakuza Kiwami,"19 Feb, 2019",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]","{'currency': 'CAD', 'initial': 2999, 'final': 2999, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': 'CDN$ 29.99'}"
834580,東方逆妙乱 ~ Ephemeral Unnatural Balance,"16 Aug, 2019",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 1050000, 'final': 1050000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 10,500'}"
833810,Extreme Formula Championship,"11 May, 2018",False,game,"[{'id': '9', 'description': 'Racing'}, {'id': '18', 'description': 'Sports'}]","{'currency': 'KRW', 'initial': 750000, 'final': 750000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 7,500'}"
833820,Mountain Racing,"15 May, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '9', 'description': 'Racing'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
833870,The Unbreakable Gumball,,False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]",
833910,Overchunked,"12 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 220000, 'final': 220000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 2,200'}"
833920,Meme Machine,"22 Jun, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 560000, 'final': 560000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,600'}"
833940,Vertigo FPS,"27 Jun, 2018",False,game,"[{'id': '73', 'description': 'Violent'}, {'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
833950,Risk System,"13 May, 2019",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 1050000, 'final': 1050000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 10,500'}"
833960,Mr. Grayscale,Coming soon,False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]",
833980,Dave,"30 Nov, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 440000, 'final': 440000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 4,400'}"
833990,Stonewall Penitentiary,"13 May, 2018",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 1250000, 'final': 1250000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 12,500'}"
834000,Cross Country Skiing VR,"12 Apr, 2018",True,game,"[{'id': '9', 'description': 'Racing'}, {'id': '18', 'description': 'Sports'}]",
834030,Slamdunk VR,"23 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '3', 'description': 'RPG'}, {'id': '18', 'description': 'Sports'}]","{'currency': 'KRW', 'initial': 1850000, 'final': 1850000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 18,500'}"
834050,SixGenerals | 六小将传说,"17 May, 2018",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 1050000, 'final': 1050000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 10,500'}"
